SiteID,AltNum,Description
1358,Lepsius 35,Lepsius No
1359,G 2357,Alternate Reisner No
1360,G 2347,Alternate Reisner No
1361,G 2347a,Alternate Reisner No
1362,G 2347a,Alternate Reisner No
1363,LG 15,Lepsius No
1363,L.15,Lepsius No
1363,Lepsius 15,Lepsius No
1369,L.16,Lepsius No
1369,Lepsius 16,Lepsius No
1369,LG 16,Lepsius No
1369,Tomb of Trades,Other No
1373,G 6025a,Alternate Reisner No
1375,G 6026a,Alternate Reisner No
1379,LG 17,Lepsius No
1379,Lepsius 17,Lepsius No
1379,L.17,Lepsius No
1387,Lepsius 18,Lepsius No
1387,L.18,Lepsius No
1387,LG 18,Lepsius No
1466,G 7000 SE LXX,Alternate Reisner No
1467,G 7000 SE LXXI,Alternate Reisner No
1468,G 7000 SE LXXII,Alternate Reisner No
1469,G 7000 SE LXXIII,Alternate Reisner No
1470,G 7000 SE LXXIV,Alternate Reisner No
1471,G 7000 SE LXXV,Alternate Reisner No
1483,G 7000 SE IX,Alternate Reisner No
1484,G 7000 SE LIII,Alternate Reisner No
1486,G 7000 SE V,Alternate Reisner No
1487,G 7000 SE VI,Alternate Reisner No
1488,G 7000 SE VII,Alternate Reisner No
1489,G 7000 SE VIII,Alternate Reisner No
1490,G 7000 SE XIII,Alternate Reisner No
1491,G 7000 SE XIV,Alternate Reisner No
1492,G 7000 SE XIX,Alternate Reisner No
1493,G 7000 SE XLIV,Alternate Reisner No
1494,G 7000 SE XLVI,Alternate Reisner No
1495,G 7000 SE XLVII,Alternate Reisner No
1496,G 7000 SE XV,Alternate Reisner No
1497,G 7000 SE XVI,Alternate Reisner No
1498,G 7000 SE XVII,Alternate Reisner No
1499,G 7000 SE XVIII,Alternate Reisner No
1500,G 7000 SE XX,Alternate Reisner No
1501,G 7000 SE XXI,Alternate Reisner No
1502,G 7000 SE XXII,Alternate Reisner No
1503,G 7000 SE XXIII,Alternate Reisner No
1504,G 7000 SE XXIV,Alternate Reisner No
1505,G 7000 SE XXV,Alternate Reisner No
1506,G 7000 SE XXVIII,Alternate Reisner No
1507,G 7000 SE XXXV,Alternate Reisner No
1508,G 7000 SE XXXVIII,Alternate Reisner No
1511,Lepsius 57,Lepsius No
1511,L.57,Lepsius No
1511,LG 57,Lepsius No
1512,LG 56,Lepsius No
1512,L.56,Lepsius No
1512,Lepsius 56,Lepsius No
1518,G 7110-7120: G 7110,Alternate Reisner No
1518,G 7110-7120: G 7120,Alternate Reisner No
1518,G 7110,Correct Double Mastaba No
1518,G 7120,Correct Double Mastaba No
1519,G 7111-i; G 7111-ii; G 7111-iii,Alternate Reisner No
1521,G 7130,Correct Double Mastaba No
1521,G 7140,Correct Double Mastaba No
1521,G 7130-7140: G 7130,Alternate Reisner No
1521,G 7130-7140: G 7140,Alternate Reisner No
1523,G 7132-II,Alternate Reisner No
1523,G 7132 I,Alternate Reisner No
1523,G 7132 II,Alternate Reisner No
1523,G 7132-I,Alternate Reisner No
1524,G 7130 X,Alternate Reisner No
1524,G 7130 Y,Alternate Reisner No
1525,G 7130 Z,Alternate Reisner No
1525,G 7130 U,Alternate Reisner No
1526,G 7140 X,Alternate Reisner No
1526,G 7140 Y,Alternate Reisner No
1526,G 7140 Z,Alternate Reisner No
1533,G 7145,Correct Double Mastaba No
1533,G 7147,Correct Double Mastaba No
1535,G 7148,Correct Double Mastaba No
1535,G 7149,Correct Double Mastaba No
1542,G 7244,Correct Double Mastaba No
1542,G 7246,Correct Double Mastaba No
1552,G 7258,Alternate Reisner No
1553,G 7310,Correct Double Mastaba No
1553,G 7320,Correct Double Mastaba No
1553,G 7310-7320: G 7310,Alternate Reisner No
1553,G 7310-7320: G 7320,Alternate Reisner No
1562,G 7331,Correct Double Mastaba No
1562,G 7332,Correct Double Mastaba No
1563,G 7322,NULL
1564,G 7410,Correct Double Mastaba No
1564,G 7420,Correct Double Mastaba No
1564,G 7410-7420: G 7410,Alternate Reisner No
1564,G 7410-7420: G 7420,Alternate Reisner No
1565,L.61,Lepsius No
1565,Lepsius 61,Lepsius No
1565,G 7430,Correct Double Mastaba No
1565,G 7440,Correct Double Mastaba No
1565,LG 61,Lepsius No
1566,G 7450 X,Alternate Reisner No
1581,G 7787a,Alternate Reisner No
1581,G 7787b,Alternate Reisner No
1587,G 7793a,Alternate Reisner No
1592,G 7797a,Alternate Reisner No
1592,G 7797b,Alternate Reisner No
1606,G 7580,Alternate Reisner No
1617,G 7819a,Alternate Reisner No
1618,G 7590,Alternate Reisner No
1675,G 7928,Correct Double Mastaba No
1675,G 7929,Correct Double Mastaba No
1695,G I S,Reisner No
1695,M. I,Junker No
1695,G I S No.1,"Reisner No., alternate spelling"
1696,G I S No.2,Reisner No
1696,M. III,Junker No
1696,G II S,Reisner No
1697,G III S,Reisner No
1697,M. IV,Junker No
1697,G I S No.3,"Reisner No., alternate spelling"
1698,G I S No.6,"Resiner No., alternate spelling"
1698,M. VII,Junker No
1698,G VI S,Reisner No
1699,LG 75,Lepsius No
1699,Tomb of Numbers,Other No
1699,Lepsius 75,Lepsius No
1699,L.75,Lepsius No
1700,M. VIII,Junker No
1700,G VII S,Reisner No
1700,G I S No.7,"Reisner No., alternate spelling"
1701,G I S No.8,"Reisner No., alternate spelling"
1701,G VIII S,Reisner No
1701,M. IX,Junker No
1702,M. X,Junker No
1702,G IX S,Reisner No
1702,G I S No.9,"Reisner No., alternate spelling"
1769,Rock Cut Tomb No. 11,Hassan No.
1769,Hassan No. 11,Other No
1769,147,Abou-Ghazi No (ASAE 58 [1964])
1770,124,Abou-Ghazi No (ASAE 58 [1964])
1770,Akh-Ra',Hassan No.
1770,Hassan No. 4,Other No
1770,Rock Cut Tomb No. 4,Hassan No.
1770,Rock Cut Tomb of Akhre,Hassan No.
1772,Khafre Boat Pits,Hassan No.
1772,91,Abou-Ghazi No (ASAE 58 [1964])
1772,Khafre Boat Grave,Other No
1773,Khafre Pyramid Causeway,Other No
1775,Lepsius VIII,Lepsius No
1775,L.VIII,Lepsius No
1775,2 of Giza (Perring and Vyse),Other No
1775,G II,Alternate Reisner No
1777,Pyramid G II-a,Alternate Reisner No
1777,Khafre Queen's Pyramid a,Alternate Reisner No
1779,Khufu Boat Pits,Hassan No.
1779,Sun-bark Boat Grave,Hassan No.
1779,Khufu Boat Grave,Other No
1780,Khufu Causeway,Other No
1780,Cheops Causeway,Other No
1782,Lepsius IV,Lepsius No
1782,L.IV,Lepsius No
1782,1 of Giza (Perring and Vyse),Other No
1782,G I,Alternate Reisner No
1782,Great Pyramid,Other No
1782,First Pyramid,Other No
1791,LG 10,Lepsius No
1791,L.10,Lepsius No
1792,L.11,Lepsius No
1792,LG 11,Lepsius No
1792,QC 12,Other No
1793,QC 14,Other No
1793,LG 12,Lepsius No
1793,Tomb of Palm-tree Beams,Other No
1793,L.12,Lepsius No
1794,L.13,Lepsius No
1794,LG 13,Lepsius No
1795,LG 19,Lepsius No
1795,L.19,Lepsius No
1796,LG 20,Lepsius No
1796,LG 21,Lepsius No
1796,Lepsius 20,Lepsius No
1796,Lepsius 21,Lepsius No
1796,L.20,Lepsius No
1796,L.21,Lepsius No
1796,LG 20-21,Lepsius No
1797,Men-Hebw,Junker No
1797,G 5610,Alternate Reisner No
1799,LG 33,Lepsius No
1799,S 660/661,Junker No
1799,L.33,Lepsius No
1800,L.38,Lepsius No
1800,LG 38,Lepsius No
1800,Khwm-Hotep,Junker No
1800,S 766,Junker No
1801,Seshemnefer [IV],Junker No
1801,LG 53,Lepsius No
1801,L.53,Lepsius No
1802,L.54,Lepsius No
1802,LG 54,Lepsius No
1802,Hetepheres,Junker No
1803,LG 63,Lepsius No
1803,L.63,Lepsius No
1803,Lepsius 63 x,Lepsius No
1804,Lepsius 64 x,Lepsius No
1804,L.64,Lepsius No
1804,LG 64,Lepsius No
1805,LG 55,Lepsius No
1805,L.55,Lepsius No
1805,Niankhre [II],Junker No
1806,LG 65,Lepsius No
1806,L.65,Lepsius No
1807,L.66,Lepsius No
1807,LG 66,Lepsius No
1808,LG 67,Lepsius No
1808,L.67,Lepsius No
1808,Lepsius 67 x,Lepsius No
1808,Lepsius 67 y,Lepsius No
1809,Lepsius 68 x,Lepsius No
1809,Lepsius 68 y,Lepsius No
1809,Lepsius 68 z,Lepsius No
1809,L.68,Lepsius No
1809,LG 68,Lepsius No
1810,LG 69,Lepsius No
1810,L.69,Lepsius No
1811,L.70,Lepsius No
1811,LG 70,Lepsius No
1812,LG 71,Lepsius No
1812,L.71,Lepsius No
1814,L.72,Lepsius No
1814,LG 72,Lepsius No
1815,LG 73,Lepsius No
1815,L.73,Lepsius No
1816,LG 74,Lepsius No
1816,L.74,Lepsius No
1817,L.76,Lepsius No
1817,LG 76,Lepsius No
1818,LG 77,Lepsius No
1818,L.77,Lepsius No
1819,L.78,Lepsius No
1819,LG 78,Lepsius No
1820,LG 79,Lepsius No
1820,L.79,Lepsius No
1821,L.80,Lepsius No
1821,LG 80,Lepsius No
1821,Lepsius 80,Lepsius No
1822,Lepsius 81,Lepsius No
1822,LG 81,Lepsius No
1822,L.81,Lepsius No
1823,L.83,Lepsius No
1823,LG 83,Lepsius No
1823,Lepsius 83,Lepsius No
1824,Lepsius 84,Lepsius No
1824,Campbell's Tomb,Other No
1824,LG 84,Lepsius No
1824,L.84,Lepsius No
1825,L.86,Lepsius No
1825,LG 86,Lepsius No
1825,74,Abou-Ghazi No (ASAE 58 [1964])
1825,Neb-em-akhet,Hassan No.
1825,Lepsius 86,Lepsius No
1826,Ankhemsaf,Hassan No.
1826,'Ankh-em-sa-ef,Hassan No.
1826,100,Abou-Ghazi No (ASAE 58 [1964])
1827,Ankhmare (2),Other No
1828,Prince 'Ankh-ma-Ra',Hassan No.
1828,Ankhmare (1),Hassan No.
1828,99,Abou-Ghazi No (ASAE 58 [1964])
1829,LG 87,Lepsius No
1829,L.87,Lepsius No
1829,Lepsius 87,Lepsius No
1830,Lepsius 88,Lepsius No
1830,L.88,Lepsius No
1830,LG 88,Lepsius No
1831,LG 89,Lepsius No
