ReferenceID,SiteID,SiteName,SiteNumber,ThumbPathName,ThumbFileName,ArchIDNum
78,173,Western Cemetery,G 1012,https://nrs.harvard.edu,urn-3:FHCL:37833337?width=170&height=170,459997188
78,176,Western Cemetery,G 1015,https://nrs.harvard.edu,urn-3:FHCL:40810063?width=170&height=170,472335748
78,177,Western Cemetery,G 1016,https://nrs.harvard.edu,urn-3:FHCL:38025481?width=170&height=170,460503733
78,181,Western Cemetery,G 1020,https://nrs.harvard.edu,urn-3:FHCL:37833315?width=170&height=170,459997170
78,182,Western Cemetery,G 1021,https://nrs.harvard.edu,urn-3:FHCL:38554755?width=170&height=170,462431658
78,189,Western Cemetery,G 1026,https://nrs.harvard.edu,urn-3:FHCL:37791995?width=170&height=170,459779452
78,190,Western Cemetery,G 1027,https://nrs.harvard.edu,urn-3:FHCL:38554300?width=170&height=170,462431322
78,193,Western Cemetery,G 1029,https://nrs.harvard.edu,urn-3:FHCL:37833328?width=170&height=170,459997182
78,205,Western Cemetery,G 1036,https://nrs.harvard.edu,urn-3:FHCL:38555163?width=170&height=170,462431958
78,209,Western Cemetery,G 1039,https://nrs.harvard.edu,urn-3:FHCL:38025521?width=170&height=170,460503793
78,210,Western Cemetery,G 1040+1041,https://nrs.harvard.edu,urn-3:FHCL:38025517?width=170&height=170,460503787
78,215,Western Cemetery,G 1047,https://nrs.harvard.edu,urn-3:FHCL:38025503?width=170&height=170,460503766
78,228,Western Cemetery,G 1060,https://nrs.harvard.edu,urn-3:FHCL:38591924?width=170&height=170,462506268
78,264,Western Cemetery,G 1104+1105,https://nrs.harvard.edu,urn-3:FHCL:37833467?width=170&height=170,459997284
78,268,Western Cemetery,G 1109,https://nrs.harvard.edu,urn-3:FHCL:38555648?width=170&height=170,462435477
78,282,Western Cemetery,G 1151,https://nrs.harvard.edu,urn-3:FHCL:37833484?width=170&height=170,459997296
78,283,Western Cemetery,G 1152,https://nrs.harvard.edu,urn-3:FHCL:38025627?width=170&height=170,460503952
78,288,Western Cemetery,G 1156,https://nrs.harvard.edu,urn-3:FHCL:37961232?width=170&height=170,460355160
78,290,Western Cemetery,G 1157,https://nrs.harvard.edu,urn-3:FHCL:38555708?width=170&height=170,462435567
78,295,Western Cemetery,G 1162+1172,https://nrs.harvard.edu,urn-3:FHCL:38590338?width=170&height=170,462503869
78,314,Western Cemetery,G 1206,https://nrs.harvard.edu,urn-3:FHCL:38590284?width=170&height=170,462503788
78,316,Western Cemetery,G 1208,https://nrs.harvard.edu,urn-3:FHCL:38555762?width=170&height=170,462435648
78,319,Western Cemetery,G 1211,https://nrs.harvard.edu,urn-3:FHCL:38590514?width=170&height=170,462504130
78,321,Western Cemetery,G 1213,https://nrs.harvard.edu,urn-3:FHCL:38557099?width=170&height=170,462437376
78,322,Western Cemetery,G 1214,https://nrs.harvard.edu,urn-3:FHCL:38557116?width=170&height=170,462437388
78,329,Western Cemetery,G 1221,https://nrs.harvard.edu,urn-3:FHCL:38026077?width=170&height=170,460504627
78,341,Western Cemetery,G 1234,https://nrs.harvard.edu,urn-3:FHCL:37793025?width=170&height=170,459780886
78,343,Western Cemetery,G 1301,https://nrs.harvard.edu,urn-3:FHCL:38026019?width=170&height=170,460504540
78,346,Western Cemetery,G 1304,https://nrs.harvard.edu,urn-3:FHCL:38590324?width=170&height=170,462503848
78,354,Western Cemetery,G 1314,https://nrs.harvard.edu,urn-3:FHCL:38025697?width=170&height=170,460504057
78,364,Western Cemetery,G 1357,https://nrs.harvard.edu,urn-3:FHCL:38590732?width=170&height=170,462504454
78,367,Western Cemetery,G 1360,https://nrs.harvard.edu,urn-3:FHCL:38556722?width=170&height=170,462437088
78,373,Western Cemetery,G 1366,https://nrs.harvard.edu,urn-3:FHCL:39146450?width=170&height=170,464180956
78,379,Western Cemetery,G 1402,https://nrs.harvard.edu,urn-3:FHCL:38590360?width=170&height=170,462503902
78,385,Western Cemetery,G 1408+1409,https://nrs.harvard.edu,urn-3:FHCL:37818398?width=170&height=170,459916748
78,391,Western Cemetery,G 1454+1455,https://nrs.harvard.edu,urn-3:FHCL:38592852?width=170&height=170,462507537
78,405,Western Cemetery,G 1608,https://nrs.harvard.edu,urn-3:FHCL:37961530?width=170&height=170,460355607
78,493,Western Cemetery,G 2004,https://nrs.harvard.edu,urn-3:FHCL:37818940?width=170&height=170,459917561
78,494,Western Cemetery,G 2005,https://nrs.harvard.edu,urn-3:FHCL:37818940?width=170&height=170,459917561
78,499,Western Cemetery,G 2009,https://nrs.harvard.edu,urn-3:FHCL:37818978?width=170&height=170,459917618
78,522,Western Cemetery,G 5030,https://nrs.harvard.edu,urn-3:FHCL:38552248?width=170&height=170,462429792
78,524,Western Cemetery,G 5032,https://nrs.harvard.edu,urn-3:FHCL:38552516?width=170&height=170,462429993
78,530,Western Cemetery,G 5080,https://nrs.harvard.edu,urn-3:FHCL:37704599?width=170&height=170,459586344
78,532,Western Cemetery,G 5110,https://nrs.harvard.edu,urn-3:FHCL:38552364?width=170&height=170,462429879
78,534,Western Cemetery,G 5131,https://nrs.harvard.edu,urn-3:FHCL:38552248?width=170&height=170,462429792
78,536,Western Cemetery,G 5150,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_1993.098.07.jpg,NULL
78,538,Western Cemetery,G 5170,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_01090.jpg,NULL
78,541,Western Cemetery,G 5210,https://nrs.harvard.edu,urn-3:FHCL:38552308?width=170&height=170,462429837
78,543,Western Cemetery,G 5220,https://nrs.harvard.edu,urn-3:FHCL:37900886?width=170&height=170,460180702
78,544,Western Cemetery,G 5332,https://nrs.harvard.edu,urn-3:FHCL:38552604?width=170&height=170,462430059
78,547,Western Cemetery,G 5340,https://nrs.harvard.edu,urn-3:FHCL:41106689?width=170&height=170,474939743
78,548,Western Cemetery,G 5350,https://nrs.harvard.edu,urn-3:FHCL:41107207?width=170&height=170,474940493
78,554,Western Cemetery,G 5230,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_1993.128.27.jpg,NULL
78,557,Western Cemetery,G 5232,https://nrs.harvard.edu,urn-3:FHCL:38552328?width=170&height=170,462429852
78,559,Western Cemetery,G 5234,https://nrs.harvard.edu,urn-3:FHCL:38552332?width=170&height=170,462429855
78,560,Western Cemetery,G 5235,https://nrs.harvard.edu,urn-3:FHCL:38552388?width=170&height=170,462429897
78,566,Western Cemetery,G 5270,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_01092.jpg,NULL
78,567,Western Cemetery,G 5280,https://nrs.harvard.edu,urn-3:FHCL:37704753?width=170&height=170,459586575
78,587,Western Cemetery,G 2025,https://nrs.harvard.edu,urn-3:FHCL:38264620?width=170&height=170,461265609
78,607,Western Cemetery,G 2036,https://nrs.harvard.edu,urn-3:FHCL:38264778?width=170&height=170,461265846
78,618,Western Cemetery,G 2042,https://nrs.harvard.edu,urn-3:FHCL:37818926?width=170&height=170,459917540
78,623,Western Cemetery,G 2043,https://nrs.harvard.edu,urn-3:FHCL:37792563?width=170&height=170,459780193
78,648,Western Cemetery,G 2086,https://nrs.harvard.edu,urn-3:FHCL:37832371?width=170&height=170,459996444
78,651,Western Cemetery,G 2088,https://nrs.harvard.edu,urn-3:FHCL:37832367?width=170&height=170,459996438
78,654,Western Cemetery,G 2089,https://nrs.harvard.edu,urn-3:FHCL:37832367?width=170&height=170,459996438
78,656,Western Cemetery,G 2091,https://nrs.harvard.edu,urn-3:FHCL:37792947?width=170&height=170,459780769
78,659,Western Cemetery,G 2094,https://nrs.harvard.edu,urn-3:FHCL:37832367?width=170&height=170,459996438
78,662,Western Cemetery,G 2096,https://nrs.harvard.edu,urn-3:FHCL:37832367?width=170&height=170,459996438
78,663,Western Cemetery,G 2097,https://nrs.harvard.edu,urn-3:FHCL:37832221?width=170&height=170,459996219
78,669,Western Cemetery,G 2099,https://nrs.harvard.edu,urn-3:FHCL:37832367?width=170&height=170,459996438
78,672,Western Cemetery,G 2100-II,https://nrs.harvard.edu,urn-3:FHCL:41391745?width=170&height=170,478127498
78,708,Western Cemetery,G 2150,https://nrs.harvard.edu,urn-3:FHCL:37704571?width=170&height=170,459586302
78,716,Western Cemetery,G 2155,https://nrs.harvard.edu,urn-3:FHCL:41123029?width=170&height=170,474983947
