ID,SiteID,SiteName,SiteNumber,ClassificationID
20232,1287,Eastern Cemetery,G 7757,79
20233,1299,Eastern Cemetery,G 7769,58
20234,1287,Eastern Cemetery,G 7757,82
20235,1287,Eastern Cemetery,G 7757,95
20236,1287,Eastern Cemetery,G 7757,79
20237,1653,Eastern Cemetery,G 7911,24
20238,1287,Eastern Cemetery,G 7757,53
20239,1287,Eastern Cemetery,G 7757,79
20240,2728,Eastern Cemetery,G 7931,34
20241,1287,Eastern Cemetery,G 7757,57
20242,1287,Eastern Cemetery,G 7757,53
20243,2728,Eastern Cemetery,G 7931,95
20244,1287,Eastern Cemetery,G 7757,94
20245,1287,Eastern Cemetery,G 7757,79
20246,2728,Eastern Cemetery,G 7931,38
20247,1287,Eastern Cemetery,G 7757,79
20248,1287,Eastern Cemetery,G 7757,94
20249,2728,Eastern Cemetery,G 7931,95
20250,2728,Eastern Cemetery,G 7931,104
20251,1292,Eastern Cemetery,G 7761,35
20252,1675,Eastern Cemetery,G 7928+7929,80
20253,1675,Eastern Cemetery,G 7928+7929,79
20254,1675,Eastern Cemetery,G 7928+7929,79
20255,1292,Eastern Cemetery,G 7761,129
20256,1675,Eastern Cemetery,G 7928+7929,88
20257,1284,Eastern Cemetery,G 7753,79
20258,1675,Eastern Cemetery,G 7928+7929,54
20259,1675,Eastern Cemetery,G 7928+7929,95
20260,1284,Eastern Cemetery,G 7753,95
20261,1679,Eastern Cemetery,G 7932,24
20262,1656,Eastern Cemetery,G 7913,95
20263,1284,Eastern Cemetery,G 7753,100
20264,1284,Eastern Cemetery,G 7753,79
20265,1287,Eastern Cemetery,G 7757,99
20266,1656,Eastern Cemetery,G 7913,79
20267,1656,Eastern Cemetery,G 7913,79
20268,1656,Eastern Cemetery,G 7913,53
20269,1287,Eastern Cemetery,G 7757,58
20270,1284,Eastern Cemetery,G 7753,34
20271,1656,Eastern Cemetery,G 7913,53
20272,1292,Eastern Cemetery,G 7761,97
20273,1656,Eastern Cemetery,G 7913,88
20274,1687,Eastern Cemetery,G 7939,87
20275,1292,Eastern Cemetery,G 7761,97
20276,1292,Eastern Cemetery,G 7761,97
20277,1687,Eastern Cemetery,G 7939,87
20278,1688,Eastern Cemetery,G 7940,82
20279,1292,Eastern Cemetery,G 7761,18
20280,1285,Eastern Cemetery,G 7754,58
20281,1688,Eastern Cemetery,G 7940,95
20282,1285,Eastern Cemetery,G 7754,58
20283,1688,Eastern Cemetery,G 7940,79
20284,1688,Eastern Cemetery,G 7940,18
20285,1285,Eastern Cemetery,G 7754,86
20286,1688,Eastern Cemetery,G 7940,53
20287,1688,Eastern Cemetery,G 7940,58
20288,1688,Eastern Cemetery,G 7940,58
20289,1285,Eastern Cemetery,G 7754,34
20290,1682,Eastern Cemetery,G 7935,97
20291,1287,Eastern Cemetery,G 7757,18
20292,1690,Eastern Cemetery,G 7943,87
20293,1291,Eastern Cemetery,G 7760,87
20294,1690,Eastern Cemetery,G 7943,118
20295,1287,Eastern Cemetery,G 7757,57
20296,1287,Eastern Cemetery,G 7757,109
20297,1287,Eastern Cemetery,G 7757,79
20298,1690,Eastern Cemetery,G 7943,95
20300,1690,Eastern Cemetery,G 7943,95
20301,1690,Eastern Cemetery,G 7943,95
20302,1690,Eastern Cemetery,G 7943,129
20303,1690,Eastern Cemetery,G 7943,95
20304,1690,Eastern Cemetery,G 7943,79
20305,1663,Eastern Cemetery,G 7918,58
20306,1663,Eastern Cemetery,G 7918,58
20307,1688,Eastern Cemetery,G 7940,18
20308,1663,Eastern Cemetery,G 7918,79
20309,1663,Eastern Cemetery,G 7918,95
20310,1663,Eastern Cemetery,G 7918,79
20311,1688,Eastern Cemetery,G 7940,95
20312,1688,Eastern Cemetery,G 7940,95
20313,1682,Eastern Cemetery,G 7935,57
20314,1663,Eastern Cemetery,G 7918,79
20315,1663,Eastern Cemetery,G 7918,79
20316,1663,Eastern Cemetery,G 7918,79
20317,1663,Eastern Cemetery,G 7918,95
20318,1663,Eastern Cemetery,G 7918,82
20319,1663,Eastern Cemetery,G 7918,79
20320,1688,Eastern Cemetery,G 7940,106
20321,1688,Eastern Cemetery,G 7940,34
20322,1688,Eastern Cemetery,G 7940,34
20323,1663,Eastern Cemetery,G 7918,97
20324,1663,Eastern Cemetery,G 7918,38
20325,1663,Eastern Cemetery,G 7918,79
20326,1663,Eastern Cemetery,G 7918,110
20327,1663,Eastern Cemetery,G 7918,79
20328,1663,Eastern Cemetery,G 7918,34
20329,1663,Eastern Cemetery,G 7918,95
