ID,UnpublishedID,ObjectNumber,UnpublishedTitle,ClassificationID,ObjectDate,ThumbPathName,ThumbFileName,ArchIDNum
5962,40071,EMC_JE_51906,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 515 (alternate version)",89,11/06/1924,https://nrs.harvard.edu,urn-3:FHCL:39688545?width=170&height=170,465954323
5962,40106,EMC_JE_51906,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 515",89,11/06/1924,https://nrs.harvard.edu,urn-3:FHCL:39687534?width=170&height=170,465953810
5963,40111,HUMFA_24-11-739,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 520",38,11/21/1924,https://nrs.harvard.edu,urn-3:FHCL:39687564?width=170&height=170,465953825
5963,40413,HUMFA_24-11-739,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 520 (alternate version)",38,11/21/1924,https://nrs.harvard.edu,urn-3:FHCL:39688574?width=170&height=170,465954338
5964,40470,HUMFA_24-11-146,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528 (alternate version)",89,11/06/1924,https://nrs.harvard.edu,urn-3:FHCL:39688622?width=170&height=170,465954362
5964,40726,HUMFA_24-11-146,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528",89,11/06/1924,https://nrs.harvard.edu,urn-3:FHCL:39687611?width=170&height=170,465953849
5965,40470,HUMFA_24-11-740,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528 (alternate version)",89,11/21/1924,https://nrs.harvard.edu,urn-3:FHCL:39688622?width=170&height=170,465954362
5965,40726,HUMFA_24-11-740,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528",89,11/21/1924,https://nrs.harvard.edu,urn-3:FHCL:39687611?width=170&height=170,465953849
5966,40470,HUMFA_24-11-147,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528 (alternate version)",38,11/06/1924,https://nrs.harvard.edu,urn-3:FHCL:39688622?width=170&height=170,465954362
5966,40726,HUMFA_24-11-147,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528",38,11/06/1924,https://nrs.harvard.edu,urn-3:FHCL:39687611?width=170&height=170,465953849
5968,40074,HUMFA_24-11-148,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 518 (alternate version)",38,11/06/1924,https://nrs.harvard.edu,urn-3:FHCL:39688563?width=170&height=170,465954332
5968,40109,HUMFA_24-11-148,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 518",38,11/06/1924,https://nrs.harvard.edu,urn-3:FHCL:39687552?width=170&height=170,465953819
6008,41082,HUMFA_24-11-784,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 532",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39687635?width=170&height=170,465953861
6008,41231,HUMFA_24-11-784,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 532 (alternate version)",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39688646?width=170&height=170,465954374
6009,41082,HUMFA_24-11-785,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 532",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39687635?width=170&height=170,465953861
6009,41231,HUMFA_24-11-785,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 532 (alternate version)",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39688646?width=170&height=170,465954374
6010,40473,HUMFA_24-11-786,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 531 (alternate version)",38,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39688640?width=170&height=170,465954371
6010,40729,HUMFA_24-11-786,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 531",38,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39687629?width=170&height=170,465953858
6011,40470,HUMFA_24-11-787,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528 (alternate version)",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39688622?width=170&height=170,465954362
6011,40726,HUMFA_24-11-787,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39687611?width=170&height=170,465953849
6012,40470,HUMFA_24-11-788,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528 (alternate version)",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39688622?width=170&height=170,465954362
6012,40726,HUMFA_24-11-788,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39687611?width=170&height=170,465953849
6013,40466,HUMFA_24-11-789,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 524 (alternate version)",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39688598?width=170&height=170,465954350
6013,40722,HUMFA_24-11-789,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 524",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39687588?width=170&height=170,465953837
6014,40470,HUMFA_24-11-790,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528 (alternate version)",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39688622?width=170&height=170,465954362
6014,40726,HUMFA_24-11-790,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39687611?width=170&height=170,465953849
6015,40468,HUMFA_24-11-791,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 526 (alternate version)",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39688610?width=170&height=170,465954356
6015,40724,HUMFA_24-11-791,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 526",89,11/23/1924,https://nrs.harvard.edu,urn-3:FHCL:39687599?width=170&height=170,465953843
6035,40231,HUMFA_24-11-812,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 09: Service Equipment of the Chapel: Statues, Offering Basins and Vessels, Page 014",53,11/25/1924,https://nrs.harvard.edu,urn-3:FHCL:39686522?width=170&height=170,465950786
6035,41478,HUMFA_24-11-812,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 09: Service Equipment of the Chapel: Statues, Offering Basins and Vessels, Page 014 (alternate version)",53,11/25/1924,https://nrs.harvard.edu,urn-3:FHCL:39687261?width=170&height=170,465951326
6037,40231,HUMFA_24-11-813,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 09: Service Equipment of the Chapel: Statues, Offering Basins and Vessels, Page 014",18,11/25/1924,https://nrs.harvard.edu,urn-3:FHCL:39686522?width=170&height=170,465950786
6037,41478,HUMFA_24-11-813,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 09: Service Equipment of the Chapel: Statues, Offering Basins and Vessels, Page 014 (alternate version)",18,11/25/1924,https://nrs.harvard.edu,urn-3:FHCL:39687261?width=170&height=170,465951326
6038,40231,HUMFA_24-11-814,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 09: Service Equipment of the Chapel: Statues, Offering Basins and Vessels, Page 014",18,11/25/1924,https://nrs.harvard.edu,urn-3:FHCL:39686522?width=170&height=170,465950786
